"chapter","mentioned","exists","resolved"
"02_ambiente_e_reprodutibilidade.tex","demo_api.ipynb","True","demo_api.ipynb"
"02_ambiente_e_reprodutibilidade.tex","langchain.ipynb","True","langchain.ipynb"
"04_tools_skills_mcp.tex","mcp_mock_server.py","True","mcp_mock_server.py"
"04_tools_skills_mcp.tex","mcp_postgres_server.py","True","mcp_postgres_server.py"
"04_tools_skills_mcp.tex","validate_sprint_a.py","True","validate_sprint_a.py"
"05_rag_fundamentos.tex","validate_sprint_a.py","True","validate_sprint_a.py"
"10_pipeline_integrado_producao.tex","demo_api.ipynb","True","demo_api.ipynb"
"11_confiabilidade_observabilidade.tex","otel_config.py","True","C:\Documentos\langchain\infraestrutura\modules\lambda\src\otel_config.py"
"11_confiabilidade_observabilidade.tex","status.py","True","C:\Documentos\langchain\infraestrutura\modules\lambda\src\status.py"
"11_confiabilidade_observabilidade.tex","validate_sprint_a.py","True","validate_sprint_a.py"
"11_confiabilidade_observabilidade.tex","worker.py","True","C:\Documentos\langchain\infraestrutura\modules\lambda\src\worker.py"
"12_avaliacao_metricas_mercado.tex","avaliar_metricas.py","True","avaliar_metricas.py"
"13_llm_as_judge.tex","llm_judge.py","True","llm_judge.py"
"14_golden_dataset_regressao.tex","golden_baseline.json","True","golden_baseline.json"
"14_golden_dataset_regressao.tex","golden_dataset.py","True","golden_dataset.py"
"18_frontend_cloudfront_console.tex","app.js","True","C:\Documentos\langchain\frontend\cloudfront_console\app.js"
"18_frontend_cloudfront_console.tex","config.js","True","C:\Documentos\langchain\frontend\cloudfront_console\config.js"
"97_apendice_codigo_completo.tex","avaliar_metricas.py","True","avaliar_metricas.py"
"97_apendice_codigo_completo.tex","demo_api.ipynb","True","demo_api.ipynb"
"97_apendice_codigo_completo.tex","golden_baseline.json","True","golden_baseline.json"
"97_apendice_codigo_completo.tex","golden_dataset.py","True","golden_dataset.py"
"97_apendice_codigo_completo.tex","llm_judge.py","True","llm_judge.py"
"97_apendice_codigo_completo.tex","mcp_mock_server.py","True","mcp_mock_server.py"
"97_apendice_codigo_completo.tex","mcp_postgres_server.py","True","mcp_postgres_server.py"
"97_apendice_codigo_completo.tex","otel_config.py","True","C:\Documentos\langchain\infraestrutura\modules\lambda\src\otel_config.py"
"97_apendice_codigo_completo.tex","validate_sprint_a.py","True","validate_sprint_a.py"
"99_apendice_template_capitulo.tex","pwsh -File livro/validar_autocontencao.ps1","True","C:\Documentos\langchain\livro\validar_autocontencao.ps1"
